kind,name,cat,t_start_ms,t_end_ms,dur_ms
span,apply_runtime_overrides,setup,165.679676,165.79589,0.116214
span,configure_kv_pool,setup,165.802175,165.811015,0.00884
span,probe_after_runtime_clamp,non_inference,165.814131,165.986798,0.172667
span,probe_before_build,non_inference,165.991182,166.097903,0.106721
span,LLaMA.build,setup,166.100986,31848.125735,31682.024749
span,probe_after_build,non_inference,31848.138546,31848.395606,0.25706
span,read_prompt_file,prompt,31848.410257,31855.333546,6.923289
span,tokenize_and_clip,prompt,31855.346345,33588.098077,1732.751732
span,probe_before_infer,non_inference,33588.110339,33588.38993,0.279591
span,wsm.wait_group_ready,wsm,33617.629608,33617.636548,0.00694
span,wsm.wait_group_ready,wsm,33900.84829,33900.855626,0.007336
span,wsm.wait_group_ready,wsm,33962.20119,33962.205341,0.004151
span,wsm.wait_group_ready,wsm,34167.301454,34167.308596,0.007142
span,wsm.wait_group_ready,wsm,34263.031076,34263.037167,0.006091
span,wsm.wait_group_ready,wsm,34432.655912,34432.662998,0.007086
span,wsm.wait_group_ready,wsm,34500.23215,34500.2396,0.00745
span,wsm.wait_group_ready,wsm,34707.033164,34707.036304,0.00314
span,wsm.wait_group_ready,wsm,34771.231692,34771.236687,0.004995
span,wsm.wait_group_ready,wsm,34949.939902,34949.942726,0.002824
span,wsm.wait_group_ready,wsm,35014.469744,35014.475525,0.005781
span,wsm.wait_group_ready,wsm,35210.834324,35210.837342,0.003018
span,wsm.wait_group_ready,wsm,35274.850037,35274.856657,0.00662
span,wsm.wait_group_ready,wsm,35475.432541,35475.435743,0.003202
span,wsm.wait_group_ready,wsm,35539.347051,35539.352774,0.005723
span,wsm.wait_group_ready,wsm,35722.935238,35722.937904,0.002666
span,wsm.wait_group_ready,wsm,35788.168689,35788.174141,0.005452
span,wsm.wait_group_ready,wsm,35981.768178,35981.771109,0.002931
span,wsm.wait_group_ready,wsm,36045.929649,36045.93418,0.004531
span,wsm.wait_group_ready,wsm,36239.17493,36239.177747,0.002817
span,wsm.wait_group_ready,wsm,36302.872933,36302.878261,0.005328
span,wsm.wait_group_ready,wsm,36482.020673,36482.023305,0.002632
span,wsm.wait_group_ready,wsm,36572.418651,36572.422699,0.004048
span,wsm.wait_group_ready,wsm,36742.19697,36742.200312,0.003342
span,wsm.wait_group_ready,wsm,36813.432245,36813.438797,0.006552
span,wsm.wait_group_ready,wsm,36995.723957,36995.727205,0.003248
span,wsm.wait_group_ready,wsm,37085.363216,37085.367506,0.00429
span,wsm.wait_group_ready,wsm,37266.357758,37266.362899,0.005141
span,wsm.wait_group_ready,wsm,37337.630434,37337.637524,0.00709
span,wsm.wait_group_ready,wsm,37524.859759,37524.862541,0.002782
span,wsm.wait_group_ready,wsm,37614.619685,37614.623877,0.004192
span,wsm.wait_group_ready,wsm,37797.800587,37797.803965,0.003378
span,wsm.wait_group_ready,wsm,37868.369729,37868.375611,0.005882
span,wsm.wait_group_ready,wsm,38058.084155,38058.08675,0.002595
span,wsm.wait_group_ready,wsm,38148.395451,38148.401079,0.005628
span,wsm.wait_group_ready,wsm,38320.292204,38320.296152,0.003948
span,wsm.wait_group_ready,wsm,38391.084028,38391.089719,0.005691
span,wsm.wait_group_ready,wsm,38576.949958,38576.952797,0.002839
span,wsm.wait_group_ready,wsm,38667.305843,38667.310175,0.004332
span,wsm.wait_group_ready,wsm,38840.807309,38840.81757,0.010261
span,wsm.wait_group_ready,wsm,38925.65555,38925.660089,0.004539
span,wsm.wait_group_ready,wsm,39096.089244,39096.0961,0.006856
span,wsm.wait_group_ready,wsm,39183.963714,39183.968373,0.004659
span,wsm.wait_group_ready,wsm,39357.439148,39357.4469,0.007752
span,wsm.wait_group_ready,wsm,39446.27345,39446.278825,0.005375
span,wsm.wait_group_ready,wsm,39627.711724,39627.715294,0.00357
span,wsm.wait_group_ready,wsm,39716.637208,39716.642013,0.004805
span,wsm.wait_group_ready,wsm,39894.70227,39894.705155,0.002885
span,wsm.wait_group_ready,wsm,39984.080511,39984.085851,0.00534
span,wsm.wait_group_ready,wsm,40156.222894,40156.227923,0.005029
span,wsm.wait_group_ready,wsm,40244.919158,40244.923667,0.004509
span,wsm.wait_group_ready,wsm,40418.913578,40418.918963,0.005385
span,wsm.wait_group_ready,wsm,40507.271554,40507.277092,0.005538
span,wsm.wait_group_ready,wsm,40679.629117,40679.634076,0.004959
span,wsm.wait_group_ready,wsm,40768.025579,40768.030294,0.004715
span,wsm.wait_group_ready,wsm,40944.36127,40944.364319,0.003049
span,wsm.wait_group_ready,wsm,41033.511758,41033.515807,0.004049
span,wsm.wait_group_ready,wsm,41220.107096,41220.112402,0.005306
span,wsm.wait_group_ready,wsm,41308.876251,41308.881095,0.004844
span,wsm.wait_group_ready,wsm,41506.450476,41506.457156,0.00668
span,wsm.wait_group_ready,wsm,41593.007079,41593.011553,0.004474
span,wsm.wait_group_ready,wsm,41765.351903,41765.355681,0.003778
span,wsm.wait_group_ready,wsm,41854.074031,41854.078613,0.004582
span,wsm.wait_group_ready,wsm,42038.613214,42038.617532,0.004318
span,wsm.wait_group_ready,wsm,42126.765345,42126.770083,0.004738
span,wsm.wait_group_ready,wsm,42299.438126,42299.447563,0.009437
span,wsm.wait_group_ready,wsm,42390.048017,42390.052314,0.004297
span,wsm.wait_group_ready,wsm,42573.465736,42573.476155,0.010419
span,wsm.wait_group_ready,wsm,42947.29915,42947.304294,0.005144
span,wsm.wait_group_ready,wsm,43125.202668,43125.206859,0.004191
span,wsm.wait_group_ready,wsm,43498.094216,43498.099289,0.005073
span,wsm.wait_group_ready,wsm,43666.618981,43666.627346,0.008365
span,wsm.wait_group_ready,wsm,44044.310164,44044.315419,0.005255
span,wsm.wait_group_ready,wsm,44222.794301,44222.798494,0.004193
span,wsm.wait_group_ready,wsm,44596.731278,44596.736705,0.005427
span,wsm.wait_group_ready,wsm,44767.616093,44767.620362,0.004269
span,wsm.wait_group_ready,wsm,45142.293289,45142.298566,0.005277
span,wsm.wait_group_ready,wsm,45308.841136,45308.844843,0.003707
span,wsm.wait_group_ready,wsm,45683.394973,45683.400218,0.005245
span,wsm.wait_group_ready,wsm,45857.552036,45857.556321,0.004285
span,wsm.wait_group_ready,wsm,46231.967047,46231.972435,0.005388
span,wsm.wait_group_ready,wsm,46406.372902,46406.376221,0.003319
span,wsm.wait_group_ready,wsm,46781.387406,46781.392676,0.00527
span,wsm.wait_group_ready,wsm,46956.209217,46956.212366,0.003149
span,wsm.wait_group_ready,wsm,47335.193109,47335.198118,0.005009
span,wsm.wait_group_ready,wsm,47501.21427,47501.217311,0.003041
span,wsm.wait_group_ready,wsm,47874.953986,47874.958756,0.00477
span,wsm.wait_group_ready,wsm,48065.308114,48065.313378,0.005264
span,wsm.wait_group_ready,wsm,48439.163407,48439.169379,0.005972
span,wsm.wait_group_ready,wsm,48607.455038,48607.458264,0.003226
span,wsm.wait_group_ready,wsm,48982.33767,48982.343036,0.005366
span,wsm.wait_group_ready,wsm,49167.4063,49167.411478,0.005178
span,wsm.wait_group_ready,wsm,49541.540704,49541.545984,0.00528
span,wsm.wait_group_ready,wsm,49710.310108,49710.313915,0.003807
span,wsm.wait_group_ready,wsm,50088.875623,50088.88207,0.006447
span,wsm.wait_group_ready,wsm,50260.538185,50260.543372,0.005187
span,wsm.wait_group_ready,wsm,50634.483477,50634.489642,0.006165
span,wsm.wait_group_ready,wsm,50802.920754,50802.924067,0.003313
span,wsm.wait_group_ready,wsm,51188.626675,51188.631924,0.005249
span,wsm.wait_group_ready,wsm,51359.063223,51359.067455,0.004232
span,wsm.wait_group_ready,wsm,51732.07906,51732.085115,0.006055
span,wsm.wait_group_ready,wsm,51911.694865,51911.698292,0.003427
span,wsm.wait_group_ready,wsm,52286.277291,52286.282203,0.004912
span,wsm.wait_group_ready,wsm,52468.760902,52468.764984,0.004082
span,wsm.wait_group_ready,wsm,52846.826619,52846.831458,0.004839
span,wsm.wait_group_ready,wsm,53017.646134,53017.649663,0.003529
span,wsm.wait_group_ready,wsm,53390.360533,53390.365849,0.005316
span,wsm.wait_group_ready,wsm,53562.658279,53562.663596,0.005317
span,wsm.wait_group_ready,wsm,53935.277451,53935.282929,0.005478
span,wsm.wait_group_ready,wsm,54116.123785,54116.128093,0.004308
span,wsm.wait_group_ready,wsm,54490.041859,54490.047673,0.005814
span,wsm.wait_group_ready,wsm,54659.476415,54659.480727,0.004312
span,wsm.wait_group_ready,wsm,55033.329254,55033.334808,0.005554
span,wsm.wait_group_ready,wsm,55219.240688,55219.244022,0.003334
span,wsm.wait_group_ready,wsm,55595.98275,55595.988514,0.005764
span,wsm.wait_group_ready,wsm,55766.971789,55766.975669,0.00388
span,wsm.wait_group_ready,wsm,56146.81372,56146.819339,0.005619
span,wsm.wait_group_ready,wsm,56325.022817,56325.02712,0.004303
span,wsm.wait_group_ready,wsm,56698.242485,56698.248441,0.005956
span,wsm.wait_group_ready,wsm,56869.395829,56869.400111,0.004282
span,wsm.wait_group_ready,wsm,57242.700702,57242.706383,0.005681
span,wsm.wait_group_ready,wsm,57416.610808,57416.61601,0.005202
span,wsm.wait_group_ready,wsm,57792.021844,57792.027665,0.005821
span,wsm.wait_group_ready,wsm,57970.964416,57970.968225,0.003809
span,wsm.wait_group_ready,wsm,58062.288301,58062.294741,0.00644
span,wsm.wait_group_ready,wsm,58524.154556,58524.15956,0.005004
span,wsm.wait_group_ready,wsm,59158.386107,59158.391584,0.005477
span,wsm.wait_group_ready,wsm,59348.359741,59348.370957,0.011216
span,wsm.wait_group_ready,wsm,59437.462704,59437.470715,0.008011
span,wsm.wait_group_ready,wsm,59913.998387,59914.002829,0.004442
span,wsm.wait_group_ready,wsm,60287.927393,60287.932802,0.005409
span,wsm.wait_group_ready,wsm,60466.00931,60466.018357,0.009047
span,wsm.wait_group_ready,wsm,60830.36596,60830.370949,0.004989
span,wsm.wait_group_ready,wsm,61017.484559,61017.493607,0.009048
span,wsm.wait_group_ready,wsm,61103.726978,61103.737165,0.010187
