kind,name,cat,t_start_ms,t_end_ms,dur_ms
span,apply_runtime_overrides,setup,164.933909,165.057774,0.123865
span,configure_kv_pool,setup,165.063767,165.073903,0.010136
span,probe_after_runtime_clamp,non_inference,165.076838,165.256839,0.180001
span,probe_before_build,non_inference,165.261109,165.367086,0.105977
span,LLaMA.build,setup,165.369957,31996.458836,31831.088879
span,probe_after_build,non_inference,31996.473729,31996.689262,0.215533
span,read_prompt_file,prompt,31996.707626,32008.889755,12.182129
span,tokenize_and_clip,prompt,32008.901876,32012.987953,4.086077
span,probe_before_infer,non_inference,32012.996431,32013.229437,0.233006
span,wsm.wait_group_ready,wsm,32079.688242,32079.693641,0.005399
span,wsm.wait_group_ready,wsm,32453.174394,32453.193403,0.019009
span,wsm.wait_group_ready,wsm,32513.889476,32513.8943,0.004824
span,wsm.wait_group_ready,wsm,32718.893794,32718.898334,0.00454
span,wsm.wait_group_ready,wsm,32814.677622,32814.684335,0.006713
span,wsm.wait_group_ready,wsm,32984.006843,32984.010701,0.003858
span,wsm.wait_group_ready,wsm,33052.59166,33052.597862,0.006202
span,wsm.wait_group_ready,wsm,33244.873639,33244.876333,0.002694
span,wsm.wait_group_ready,wsm,33308.529794,33308.534461,0.004667
span,wsm.wait_group_ready,wsm,33495.091353,33495.094593,0.00324
span,wsm.wait_group_ready,wsm,33559.036404,33559.041143,0.004739
span,wsm.wait_group_ready,wsm,33744.211576,33744.214696,0.00312
span,wsm.wait_group_ready,wsm,33808.015177,33808.021003,0.005826
span,wsm.wait_group_ready,wsm,33988.590763,33988.593765,0.003002
span,wsm.wait_group_ready,wsm,34052.598582,34052.604258,0.005676
span,wsm.wait_group_ready,wsm,34229.031571,34229.034217,0.002646
span,wsm.wait_group_ready,wsm,34293.95011,34293.956832,0.006722
span,wsm.wait_group_ready,wsm,34480.507999,34480.510768,0.002769
span,wsm.wait_group_ready,wsm,34544.444127,34544.449991,0.005864
span,wsm.wait_group_ready,wsm,34733.392829,34733.395354,0.002525
span,wsm.wait_group_ready,wsm,34797.894707,34797.899634,0.004927
span,wsm.wait_group_ready,wsm,34994.080779,34994.08351,0.002731
span,wsm.wait_group_ready,wsm,35084.701281,35084.705897,0.004616
span,wsm.wait_group_ready,wsm,35257.237316,35257.242671,0.005355
span,wsm.wait_group_ready,wsm,35328.062771,35328.067906,0.005135
span,wsm.wait_group_ready,wsm,35511.975221,35511.978221,0.003
span,wsm.wait_group_ready,wsm,35602.761066,35602.76646,0.005394
span,wsm.wait_group_ready,wsm,35775.6876,35775.696549,0.008949
span,wsm.wait_group_ready,wsm,35846.039409,35846.044998,0.005589
span,wsm.wait_group_ready,wsm,36026.238133,36026.241009,0.002876
span,wsm.wait_group_ready,wsm,36116.367863,36116.372312,0.004449
span,wsm.wait_group_ready,wsm,36297.156136,36297.160611,0.004475
span,wsm.wait_group_ready,wsm,36368.288857,36368.294597,0.00574
span,wsm.wait_group_ready,wsm,36549.417239,36549.42,0.002761
span,wsm.wait_group_ready,wsm,36640.019059,36640.023709,0.00465
span,wsm.wait_group_ready,wsm,36810.89763,36810.903267,0.005637
span,wsm.wait_group_ready,wsm,36878.610296,36878.617488,0.007192
span,wsm.wait_group_ready,wsm,37070.178418,37070.181167,0.002749
span,wsm.wait_group_ready,wsm,37160.509708,37160.514271,0.004563
span,wsm.wait_group_ready,wsm,37347.880589,37347.885675,0.005086
span,wsm.wait_group_ready,wsm,37436.651564,37436.656455,0.004891
span,wsm.wait_group_ready,wsm,37605.039064,37605.042778,0.003714
span,wsm.wait_group_ready,wsm,37694.574933,37694.579532,0.004599
span,wsm.wait_group_ready,wsm,37865.146823,37865.149971,0.003148
span,wsm.wait_group_ready,wsm,37954.490249,37954.494671,0.004422
span,wsm.wait_group_ready,wsm,38129.247907,38129.25296,0.005053
span,wsm.wait_group_ready,wsm,38217.378884,38217.38301,0.004126
span,wsm.wait_group_ready,wsm,38401.368959,38401.372896,0.003937
span,wsm.wait_group_ready,wsm,38490.337568,38490.343481,0.005913
span,wsm.wait_group_ready,wsm,38666.134792,38666.138396,0.003604
span,wsm.wait_group_ready,wsm,38755.496964,38755.501686,0.004722
span,wsm.wait_group_ready,wsm,38930.052592,38930.056743,0.004151
span,wsm.wait_group_ready,wsm,39019.602653,39019.608411,0.005758
span,wsm.wait_group_ready,wsm,39191.499083,39191.503135,0.004052
span,wsm.wait_group_ready,wsm,39281.944743,39281.950007,0.005264
span,wsm.wait_group_ready,wsm,39474.748228,39474.754261,0.006033
span,wsm.wait_group_ready,wsm,39560.06324,39560.068734,0.005494
span,wsm.wait_group_ready,wsm,39747.362499,39747.36573,0.003231
span,wsm.wait_group_ready,wsm,39836.604412,39836.60956,0.005148
span,wsm.wait_group_ready,wsm,40017.33166,40017.335097,0.003437
span,wsm.wait_group_ready,wsm,40106.450261,40106.454985,0.004724
span,wsm.wait_group_ready,wsm,40285.554857,40285.558325,0.003468
span,wsm.wait_group_ready,wsm,40371.537515,40371.542777,0.005262
span,wsm.wait_group_ready,wsm,40549.031102,40549.034648,0.003546
span,wsm.wait_group_ready,wsm,40638.350229,40638.355235,0.005006
span,wsm.wait_group_ready,wsm,40812.174803,40812.178902,0.004099
span,wsm.wait_group_ready,wsm,40900.94316,40900.947594,0.004434
span,wsm.wait_group_ready,wsm,41070.96197,41070.966746,0.004776
span,wsm.wait_group_ready,wsm,41444.558568,41444.564698,0.00613
span,wsm.wait_group_ready,wsm,41609.879741,41609.882837,0.003096
span,wsm.wait_group_ready,wsm,41984.136306,41984.14172,0.005414
span,wsm.wait_group_ready,wsm,42175.763265,42175.769655,0.00639
span,wsm.wait_group_ready,wsm,42549.971743,42549.977393,0.00565
span,wsm.wait_group_ready,wsm,42723.680161,42723.685852,0.005691
span,wsm.wait_group_ready,wsm,43097.902924,43097.909108,0.006184
span,wsm.wait_group_ready,wsm,43277.327893,43277.332251,0.004358
span,wsm.wait_group_ready,wsm,43655.125586,43655.130682,0.005096
span,wsm.wait_group_ready,wsm,43833.409892,43833.415356,0.005464
span,wsm.wait_group_ready,wsm,44210.960919,44210.965634,0.004715
span,wsm.wait_group_ready,wsm,44389.322348,44389.325586,0.003238
span,wsm.wait_group_ready,wsm,44763.798092,44763.802418,0.004326
span,wsm.wait_group_ready,wsm,44934.111945,44934.116391,0.004446
span,wsm.wait_group_ready,wsm,45310.702142,45310.707927,0.005785
span,wsm.wait_group_ready,wsm,45479.810592,45479.814563,0.003971
span,wsm.wait_group_ready,wsm,45854.390535,45854.396122,0.005587
span,wsm.wait_group_ready,wsm,46022.528429,46022.533263,0.004834
span,wsm.wait_group_ready,wsm,46395.278087,46395.283302,0.005215
span,wsm.wait_group_ready,wsm,46566.572523,46566.576748,0.004225
span,wsm.wait_group_ready,wsm,46945.62817,46945.633627,0.005457
span,wsm.wait_group_ready,wsm,47120.144631,47120.148839,0.004208
span,wsm.wait_group_ready,wsm,47495.603252,47495.608447,0.005195
span,wsm.wait_group_ready,wsm,47664.134666,47664.13993,0.005264
span,wsm.wait_group_ready,wsm,48037.847387,48037.854347,0.00696
span,wsm.wait_group_ready,wsm,48206.834789,48206.839114,0.004325
span,wsm.wait_group_ready,wsm,48568.985482,48568.990526,0.005044
span,wsm.wait_group_ready,wsm,48751.525892,48751.529089,0.003197
span,wsm.wait_group_ready,wsm,49124.954222,49124.96036,0.006138
span,wsm.wait_group_ready,wsm,49308.164703,49308.168517,0.003814
span,wsm.wait_group_ready,wsm,49676.582289,49676.588058,0.005769
span,wsm.wait_group_ready,wsm,49848.83324,49848.840278,0.007038
span,wsm.wait_group_ready,wsm,50239.953759,50239.959712,0.005953
span,wsm.wait_group_ready,wsm,50428.196336,50428.201135,0.004799
span,wsm.wait_group_ready,wsm,50792.509095,50792.514417,0.005322
span,wsm.wait_group_ready,wsm,50979.705126,50979.710046,0.00492
span,wsm.wait_group_ready,wsm,51352.894834,51352.89943,0.004596
span,wsm.wait_group_ready,wsm,51521.878397,51521.882319,0.003922
span,wsm.wait_group_ready,wsm,51894.832922,51894.837535,0.004613
span,wsm.wait_group_ready,wsm,52076.820944,52076.830379,0.009435
span,wsm.wait_group_ready,wsm,52451.821749,52451.828842,0.007093
span,wsm.wait_group_ready,wsm,52629.022472,52629.027498,0.005026
span,wsm.wait_group_ready,wsm,53005.637704,53005.644113,0.006409
span,wsm.wait_group_ready,wsm,53186.099959,53186.104069,0.00411
span,wsm.wait_group_ready,wsm,53560.021361,53560.027384,0.006023
span,wsm.wait_group_ready,wsm,53737.752532,53737.758603,0.006071
span,wsm.wait_group_ready,wsm,54112.514222,54112.521227,0.007005
span,wsm.wait_group_ready,wsm,54287.578791,54287.583832,0.005041
span,wsm.wait_group_ready,wsm,54660.138107,54660.143311,0.005204
span,wsm.wait_group_ready,wsm,54832.784216,54832.788618,0.004402
