kind,name,cat,t_start_ms,t_end_ms,dur_ms
span,apply_runtime_overrides,setup,166.2209,166.346305,0.125405
span,configure_kv_pool,setup,166.352694,166.362998,0.010304
span,probe_after_runtime_clamp,non_inference,166.366096,166.546054,0.179958
span,probe_before_build,non_inference,166.550764,166.662589,0.111825
span,LLaMA.build,setup,166.665603,31787.625554,31620.959951
span,probe_after_build,non_inference,31787.641397,31787.860909,0.219512
span,read_prompt_file,prompt,31787.876343,31796.999248,9.122905
span,tokenize_and_clip,prompt,31797.011608,31800.979689,3.968081
span,probe_before_infer,non_inference,31800.989487,31801.23229,0.242803
span,wsm.wait_group_ready,wsm,31870.352837,31870.358511,0.005674
span,wsm.wait_group_ready,wsm,32191.696976,32191.705333,0.008357
span,wsm.wait_group_ready,wsm,32247.866098,32247.871179,0.005081
span,wsm.wait_group_ready,wsm,32469.776063,32469.786344,0.010281
span,wsm.wait_group_ready,wsm,32529.37291,32529.377891,0.004981
span,wsm.wait_group_ready,wsm,32723.82504,32723.833022,0.007982
span,wsm.wait_group_ready,wsm,32790.703297,32790.71222,0.008923
span,wsm.wait_group_ready,wsm,32977.455921,32977.463818,0.007897
span,wsm.wait_group_ready,wsm,33048.509401,33048.516872,0.007471
span,wsm.wait_group_ready,wsm,33224.120937,33224.125557,0.00462
span,wsm.wait_group_ready,wsm,33290.111128,33290.119512,0.008384
span,wsm.wait_group_ready,wsm,33471.118024,33471.121027,0.003003
span,wsm.wait_group_ready,wsm,33533.651205,33533.657273,0.006068
span,wsm.wait_group_ready,wsm,33730.085595,33730.088568,0.002973
span,wsm.wait_group_ready,wsm,33791.401785,33791.407871,0.006086
span,wsm.wait_group_ready,wsm,33970.203422,33970.206458,0.003036
span,wsm.wait_group_ready,wsm,34031.97305,34031.979872,0.006822
span,wsm.wait_group_ready,wsm,34213.097468,34213.100452,0.002984
span,wsm.wait_group_ready,wsm,34275.922132,34275.929325,0.007193
span,wsm.wait_group_ready,wsm,34472.688717,34472.691975,0.003258
span,wsm.wait_group_ready,wsm,34535.75098,34535.757098,0.006118
span,wsm.wait_group_ready,wsm,34724.644401,34724.647461,0.00306
span,wsm.wait_group_ready,wsm,34787.055286,34787.061669,0.006383
span,wsm.wait_group_ready,wsm,34986.273455,34986.276387,0.002932
span,wsm.wait_group_ready,wsm,35048.244188,35048.250996,0.006808
span,wsm.wait_group_ready,wsm,35237.401711,35237.404909,0.003198
span,wsm.wait_group_ready,wsm,35299.531666,35299.537842,0.006176
span,wsm.wait_group_ready,wsm,35482.988737,35482.991498,0.002761
span,wsm.wait_group_ready,wsm,35548.652478,35548.659869,0.007391
span,wsm.wait_group_ready,wsm,35734.841941,35734.845237,0.003296
span,wsm.wait_group_ready,wsm,35796.666599,35796.673368,0.006769
span,wsm.wait_group_ready,wsm,35992.321785,35992.32479,0.003005
span,wsm.wait_group_ready,wsm,36053.841593,36053.847295,0.005702
span,wsm.wait_group_ready,wsm,36242.159996,36242.163001,0.003005
span,wsm.wait_group_ready,wsm,36304.000219,36304.005431,0.005212
span,wsm.wait_group_ready,wsm,36484.141384,36484.144108,0.002724
span,wsm.wait_group_ready,wsm,36546.453746,36546.459384,0.005638
span,wsm.wait_group_ready,wsm,36734.679852,36734.682612,0.00276
span,wsm.wait_group_ready,wsm,36796.338339,36796.344725,0.006386
span,wsm.wait_group_ready,wsm,36991.79569,36991.79899,0.0033
span,wsm.wait_group_ready,wsm,37054.089887,37054.097368,0.007481
span,wsm.wait_group_ready,wsm,37252.098462,37252.102889,0.004427
span,wsm.wait_group_ready,wsm,37313.415657,37313.422146,0.006489
span,wsm.wait_group_ready,wsm,37501.091813,37501.095699,0.003886
span,wsm.wait_group_ready,wsm,37572.772831,37572.782356,0.009525
span,wsm.wait_group_ready,wsm,37761.779303,37761.783718,0.004415
span,wsm.wait_group_ready,wsm,37830.410031,37830.416079,0.006048
span,wsm.wait_group_ready,wsm,38015.758091,38015.76269,0.004599
span,wsm.wait_group_ready,wsm,38083.954071,38083.962895,0.008824
span,wsm.wait_group_ready,wsm,38260.973391,38260.978698,0.005307
span,wsm.wait_group_ready,wsm,38330.438072,38330.44589,0.007818
span,wsm.wait_group_ready,wsm,38510.257411,38510.261525,0.004114
span,wsm.wait_group_ready,wsm,38583.876389,38583.886263,0.009874
span,wsm.wait_group_ready,wsm,38762.542807,38762.551403,0.008596
span,wsm.wait_group_ready,wsm,38830.652067,38830.660664,0.008597
span,wsm.wait_group_ready,wsm,39004.272285,39004.277162,0.004877
span,wsm.wait_group_ready,wsm,39072.46635,39072.47515,0.0088
span,wsm.wait_group_ready,wsm,39249.654742,39249.659903,0.005161
span,wsm.wait_group_ready,wsm,39317.943866,39317.952368,0.008502
span,wsm.wait_group_ready,wsm,39511.418924,39511.430107,0.011183
span,wsm.wait_group_ready,wsm,39580.361786,39580.370583,0.008797
span,wsm.wait_group_ready,wsm,39764.339909,39764.344247,0.004338
span,wsm.wait_group_ready,wsm,39833.283977,39833.293458,0.009481
span,wsm.wait_group_ready,wsm,40011.960635,40011.967423,0.006788
span,wsm.wait_group_ready,wsm,40078.938227,40078.946823,0.008596
span,wsm.wait_group_ready,wsm,40251.012622,40251.016315,0.003693
span,wsm.wait_group_ready,wsm,40319.07404,40319.081891,0.007851
span,wsm.wait_group_ready,wsm,40502.753029,40502.757097,0.004068
span,wsm.wait_group_ready,wsm,40575.290183,40575.298093,0.00791
span,wsm.wait_group_ready,wsm,41011.560013,41011.565834,0.005821
span,wsm.wait_group_ready,wsm,41083.452326,41083.460475,0.008149
span,wsm.wait_group_ready,wsm,41525.339826,41525.344343,0.004517
span,wsm.wait_group_ready,wsm,41600.308076,41600.319931,0.011855
span,wsm.wait_group_ready,wsm,42042.13897,42042.143038,0.004068
span,wsm.wait_group_ready,wsm,42114.382082,42114.39056,0.008478
span,wsm.wait_group_ready,wsm,42549.995855,42550.001359,0.005504
span,wsm.wait_group_ready,wsm,42622.590144,42622.597452,0.007308
span,wsm.wait_group_ready,wsm,43065.173914,43065.179042,0.005128
span,wsm.wait_group_ready,wsm,43137.928729,43137.937488,0.008759
span,wsm.wait_group_ready,wsm,43585.387365,43585.391285,0.00392
span,wsm.wait_group_ready,wsm,43927.395557,43927.400637,0.00508
span,wsm.wait_group_ready,wsm,44115.153129,44115.158199,0.00507
span,wsm.wait_group_ready,wsm,44188.216029,44188.224115,0.008086
span,wsm.wait_group_ready,wsm,44621.526623,44621.533175,0.006552
span,wsm.wait_group_ready,wsm,44694.690728,44694.698729,0.008001
span,wsm.wait_group_ready,wsm,45146.071093,45146.07597,0.004877
span,wsm.wait_group_ready,wsm,45216.577683,45216.589,0.011317
span,wsm.wait_group_ready,wsm,45659.616296,45659.620244,0.003948
span,wsm.wait_group_ready,wsm,45732.973206,45732.980566,0.00736
span,wsm.wait_group_ready,wsm,46189.423673,46189.435471,0.011798
span,wsm.wait_group_ready,wsm,46262.517552,46262.537677,0.020125
span,wsm.wait_group_ready,wsm,46703.544361,46703.548361,0.004
span,wsm.wait_group_ready,wsm,46777.510412,46777.53544,0.025028
span,wsm.wait_group_ready,wsm,47223.61674,47223.620306,0.003566
span,wsm.wait_group_ready,wsm,47563.987196,47563.992701,0.005505
span,wsm.wait_group_ready,wsm,47735.874332,47735.878534,0.004202
span,wsm.wait_group_ready,wsm,47808.800965,47808.808442,0.007477
span,wsm.wait_group_ready,wsm,48280.410179,48280.415062,0.004883
span,wsm.wait_group_ready,wsm,48614.085615,48614.091552,0.005937
span,wsm.wait_group_ready,wsm,48788.808511,48788.812973,0.004462
span,wsm.wait_group_ready,wsm,48861.395318,48861.402233,0.006915
span,wsm.wait_group_ready,wsm,49296.341855,49296.346804,0.004949
span,wsm.wait_group_ready,wsm,49336.093816,49336.1085,0.014684
span,wsm.wait_group_ready,wsm,49792.997524,49793.003634,0.00611
span,wsm.wait_group_ready,wsm,49866.381837,49866.392057,0.01022
span,wsm.wait_group_ready,wsm,50323.33292,50323.33835,0.00543
span,wsm.wait_group_ready,wsm,50661.426023,50661.430744,0.004721
span,wsm.wait_group_ready,wsm,50840.221161,50840.224946,0.003785
span,wsm.wait_group_ready,wsm,50914.622394,50914.647074,0.02468
span,wsm.wait_group_ready,wsm,51348.119882,51348.126451,0.006569
span,wsm.wait_group_ready,wsm,51432.781951,51432.789254,0.007303
span,wsm.wait_group_ready,wsm,51880.550753,51880.562129,0.011376
span,wsm.wait_group_ready,wsm,51964.366191,51964.374654,0.008463
span,wsm.wait_group_ready,wsm,52429.513695,52429.517899,0.004204
span,wsm.wait_group_ready,wsm,52514.173267,52514.18276,0.009493
span,wsm.wait_group_ready,wsm,52979.575576,52979.579348,0.003772
span,wsm.wait_group_ready,wsm,53064.560578,53064.570412,0.009834
span,wsm.wait_group_ready,wsm,53534.018406,53534.023169,0.004763
span,wsm.wait_group_ready,wsm,53618.279298,53618.2863,0.007002
span,wsm.wait_group_ready,wsm,54057.070812,54057.076155,0.005343
span,wsm.wait_group_ready,wsm,54141.836031,54141.844008,0.007977
span,wsm.wait_group_ready,wsm,54585.972655,54585.978659,0.006004
span,wsm.wait_group_ready,wsm,54670.248165,54670.256213,0.008048
span,wsm.wait_group_ready,wsm,55105.414616,55105.420618,0.006002
span,wsm.wait_group_ready,wsm,55189.595919,55189.602824,0.006905
span,wsm.wait_group_ready,wsm,55657.43651,55657.442349,0.005839
span,wsm.wait_group_ready,wsm,55741.793395,55741.800236,0.006841
span,wsm.wait_group_ready,wsm,56190.093809,56190.105667,0.011858
span,wsm.wait_group_ready,wsm,56273.332458,56273.340882,0.008424
span,wsm.wait_group_ready,wsm,56754.896249,56754.901553,0.005304
